scheme_id,scheme_name,administering_body,level,state,eligible_categories,min_income_limit,max_income_limit,eligible_gender,eligible_education_levels,eligible_disability,eligible_minority,award_amount,application_deadline,description_text,source_url
NSP_PRE_MAT_SC,Pre-Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment,Central,,SC,0,200000,All,"Class 8, Class 10",All,All,"Day scholar: ₹150/month + ₹750 ad hoc; Hosteller: ₹350/month + ₹1000 ad hoc",October 31 annually,Pre-Matric Scholarship for SC students in Classes 8 and 10 at government or government-aided schools. Family income must not exceed ₹2 lakh per annum. Awards cover monthly maintenance and ad hoc grants for books and stationery. Applications through National Scholarship Portal.,https://scholarships.gov.in
NSP_POST_MAT_SC_ST,Post-Matric Scholarship for SC and ST Students,Ministry of Social Justice and Empowerment,Central,,"SC, ST",0,250000,All,"Class 12, Undergraduate, Postgraduate, PhD",All,All,Maintenance allowance ₹530–₹1200/month depending on course level,November 30 annually,Post-Matric Scholarship covers Class 11 onwards including UG PG and doctoral programmes for SC and ST students. Annual family income ceiling is ₹2.5 lakh. Covers tuition fees maintenance allowance and study tour charges. Apply through NSP portal.,https://scholarships.gov.in
PM_YASASVI_OBC,PM YASASVI Scholarship for OBC and EWS,"Ministry of Social Justice and Empowerment",Central,,"OBC, EWS",0,250000,All,"Class 8, Class 10",All,All,"₹75000/year for Class 9-10; ₹125000/year for Class 11-12",August 31 annually,PM YASASVI scholarship for OBC EWS and DNT students in Classes 9 and 11 at top residential schools. Family income must not exceed ₹2.5 lakh. Selection via YASASVI entrance test by NTA. Covers tuition and hostel charges.,https://yet.nta.ac.in
BEGUM_HAZRAT_MAHAL,Begum Hazrat Mahal National Scholarship for Minority Girls,Maulana Azad Education Foundation,Central,,All,0,200000,Female,"Class 10, Class 12",All,Yes,"₹5000 for Class 9-10; ₹6000 for Class 11-12",September 30 annually,Scholarship exclusively for meritorious girls from Muslim Christian Sikh Buddhist Jain or Zoroastrian minority communities. Family income not exceeding ₹2 lakh. Students must score at least 50% in previous exam. Apply through NSP portal.,https://scholarships.gov.in
NSP_DISABILITY,Pre and Post Matric Scholarship for Students with Disabilities,Ministry of Social Justice and Empowerment,Central,,All,0,250000,All,"Class 8, Class 10, Class 12, Undergraduate, Postgraduate, PhD",Yes,All,₹500–₹2000/month depending on course level,October 31 annually,Scholarship for students with benchmark disabilities of at least 40% pursuing education from Class 1 onwards including professional courses. Family income not exceeding ₹2.5 lakh. Covers maintenance allowance book grant and reader allowance for visually impaired. Apply on NSP.,https://scholarships.gov.in
CENTRAL_SECTOR_CS,Central Sector Scholarship for College and University Students,Department of Higher Education,Central,,All,0,450000,All,"Undergraduate, Postgraduate",All,All,"₹10000/year for UG; ₹20000/year for PG",October 31 annually,Central Sector Scholarship for meritorious students from families with income below ₹4.5 lakh. Students must be in top 20 percentile in Class 12 board. Tenable for regular degree courses at accredited colleges. Not applicable for private engineering and medical colleges.,https://scholarships.gov.in
NSP_MINORITY_PRE_MAT,Pre-Matric Scholarship for Minority Communities,Ministry of Minority Affairs,Central,,All,0,100000,All,"Class 8, Class 10",All,Yes,"Day scholar: ₹1000/year; Hosteller: ₹10000/year",October 31 annually,Scholarship for Muslim Christian Sikh Buddhist Jain and Zoroastrian minority students in Classes 1 to 10. Family income not exceeding ₹1 lakh. At least 50% scholarships reserved for girls. Students must score at least 50% in previous class.,https://scholarships.gov.in
NSP_MCM_MINORITY,Merit-cum-Means Scholarship for Minority Communities,Ministry of Minority Affairs,Central,,All,0,250000,All,"Undergraduate, Postgraduate",All,Yes,"Course fee up to ₹20000/year + maintenance ₹10000/year",October 31 annually,Merit-cum-Means Scholarship for Muslim Christian Sikh Buddhist Jain and Zoroastrian minority students in technical and professional UG and PG courses. Family income not exceeding ₹2.5 lakh. 30% reserved for girls.,https://scholarships.gov.in
MH_RAJASHRI_SHAHU,Rajarshi Chhatrapati Shahu Maharaj Merit Scholarship,"Social Justice Dept, Government of Maharashtra",State,Maharashtra,"OBC, NT, SBC",0,800000,All,"Undergraduate, Postgraduate",All,All,"₹5000–₹15000/year depending on course",December 31 annually,Merit scholarship for OBC NT and SBC students domiciled in Maharashtra. Family income not exceeding ₹8 lakh. Students must score at least 60% in qualifying exam. Available for UG and PG degree courses at Maharashtra government and government-aided colleges.,https://mahaeschol.maharashtra.gov.in
KA_SC_ST_PRE_MAT,SC/ST Pre-Matric Scholarship Karnataka,"Department of Social Welfare, Government of Karnataka",State,Karnataka,"SC, ST",0,150000,All,"Class 8, Class 10",All,All,"Hosteller: ₹800–₹1500/month; Day scholar: ₹400–₹600/month",September 30 annually,Karnataka Pre-Matric Scholarship for SC and ST students in Classes 1 to 10 at government or government-aided schools. Family income not exceeding ₹1.5 lakh. Higher maintenance for hostellers. Apply on Karnataka Scholarship Portal. Students must be domiciled in Karnataka.,https://prerana.karnataka.gov.in
AICTE_PRAGATI,AICTE Pragati Scholarship for Girl Students,All India Council for Technical Education,Central,,All,0,800000,Female,Undergraduate,All,All,"₹50000/year tuition fee + ₹2000/month incidental charges",October 31 annually,AICTE Pragati Scholarship for girl students pursuing first-year UG degree or diploma in AICTE-approved technical institutions. Family income not exceeding ₹8 lakh. Only one girl child per family eligible per year. Covers tuition fees up to ₹50000 per annum plus incidentals.,https://aicte-india.org/schemes/students-development/pragati
AICTE_SAKSHAM,AICTE Saksham Scholarship for Specially-Abled Students,All India Council for Technical Education,Central,,All,0,800000,All,Undergraduate,Yes,All,"₹50000/year tuition fee + ₹2000/month incidental charges",October 31 annually,AICTE Saksham Scholarship for students with benchmark disabilities of at least 40% in AICTE-approved technical UG degree or diploma programmes. Family income not exceeding ₹8 lakh. Covers tuition fees up to ₹50000 per year plus ₹2000 per month incidental charges.,https://aicte-india.org/schemes/students-development/saksham
INSPIRE_SHE,INSPIRE Scholarship for Higher Education in Sciences,Department of Science and Technology,Central,,All,0,9999999,All,"Undergraduate, Postgraduate",All,All,"₹80000/year + ₹20000/year summer attachment fee",November 30 annually,INSPIRE SHE scholarship for students pursuing Basic and Natural Sciences at UG and PG level. No income limit - purely merit based. Students must be in top 1% in Class 12 board or qualify JEE/NEET. ₹80000 per year for 5 years covering BSc and MSc.,https://online-inspire.gov.in
UGC_SC_ST_PHD,UGC Fellowship for SC/ST Girls for PhD Research,University Grants Commission,Central,,"SC, ST",0,9999999,Female,PhD,All,All,"₹25000/month JRF; ₹28000/month SRF + contingency grant",Rolling,UGC Fellowship for SC/ST girl students pursuing PhD in any recognised university. Must have qualified NET/GATE or been admitted through a national entrance test. Stipend ₹25000 for first 2 years rising to ₹28000 plus annual contingency grants for research.,https://ugc.ac.in/scholarships
EWS_PM_SCHEME,Prime Minister Scholarship Scheme for EWS Students,Ministry of Education,Central,,"General, EWS",0,800000,All,"Undergraduate, Postgraduate",All,All,"₹25000/year boys; ₹30000/year girls",October 15 annually,PM Scholarship for Economically Weaker Section General category students with income below ₹8 lakh. Must score at least 60% in Class 12. Covers UG and PG at recognised universities. Girl students receive higher award. Processed through National Scholarship Portal.,https://scholarships.gov.in
UP_SC_POST_MAT,Post-Matric Scholarship for SC Students Uttar Pradesh,"Social Welfare Dept, Government of Uttar Pradesh",State,Uttar Pradesh,SC,0,250000,All,"Class 12, Undergraduate, Postgraduate",All,All,Full tuition fee reimbursement + maintenance allowance ₹230–₹550/month,November 30 annually,Uttar Pradesh state Post-Matric Scholarship for SC students in Class 11 and above including professional courses. Income ceiling ₹2.5 lakh. Provides full tuition fee reimbursement and monthly maintenance allowance. Students must be domiciled in UP.,https://scholarship.up.gov.in
TN_BC_SCHOLARSHIP,BC/MBC Post-Matric Scholarship Tamil Nadu,"Adi Dravidar and Tribal Welfare Dept, Tamil Nadu",State,Tamil Nadu,"OBC, SC, ST",0,200000,All,"Class 12, Undergraduate, Postgraduate",All,All,Full tuition fee + ₹1000/month maintenance,October 31 annually,Tamil Nadu state scholarship for BC MBC and DNC students pursuing Class 11 and above. Family income not exceeding ₹2 lakh. Covers full tuition fee and monthly maintenance allowance. Students must be domiciled in Tamil Nadu and studying in government or aided institutions.,https://tnscholarships.tn.gov.in
ISHAN_UDAY,Ishan Uday Special Scholarship for North East India,University Grants Commission,Central,,All,0,450000,All,Undergraduate,All,All,"₹5400/month for general courses; ₹7800/month for technical/medical",Rolling,Ishan Uday Special Scholarship for students from North East India pursuing UG studies outside the region. Family income not exceeding ₹4.5 lakh. Covers Arunachal Pradesh Assam Manipur Meghalaya Mizoram Nagaland Sikkim and Tripura students.,https://ugc.ac.in/scholarships
RJ_AMBEDKAR,Dr Ambedkar Post-Matric Scholarship for EBC Students Rajasthan,"Social Justice Dept, Government of Rajasthan",State,Rajasthan,"OBC, General",0,100000,All,"Class 12, Undergraduate, Postgraduate",All,All,"Tuition fee reimbursement + ₹200–₹550/month maintenance",October 31 annually,Rajasthan state Post-Matric Scholarship for EBC students in Class 11 and above. Family income not exceeding ₹1 lakh. Covers tuition fee reimbursement and monthly maintenance. Students must be domiciled in Rajasthan and studying in Rajasthan institutions.,https://sje.rajasthan.gov.in
GIRLS_HIGHER_ED,Scholarship for Girls for Secondary Education,Ministry of Education,Central,,All,0,9999999,Female,"Class 10, Class 12",All,All,"₹3000/year deposited in fixed deposit",March 31 annually,Scholarship for girls who pass Class 8 from Kasturba Gandhi Balika Vidyalayas or government schools in EBB districts to continue secondary education in Classes 9-12. No income limit. ₹3000 deposited as fixed deposit redeemable after Class 12 completion.,https://scholarships.gov.in
